from_date;to_date;chapter;ledger_account;characteristic;balance_in_rub;balance_in_val;balance_in_total;turn_deb_rub;turn_deb_val;turn_deb_total;turn_cre_rub;turn_cre_val;turn_cre_total;balance_out_rub;balance_out_val;balance_out_total
2018-01-11;2018-01-31;А;30102;А;200079650.12;0.0;200079650.12;625440427.12;0.0;625440427.12;787848410.3;0.0;787848410.3;37671666.94;0.0;37671666.94
2018-01-01;2018-01-31;А;30109;П;63891.96;0.0;63891.96;0.0;0.0;0.0;0.0;0.0;0.0;63891.96;0.0;63891.96
2018-01-01;2018-01-31;А;30110;А;1347893.83;15170860.894378;16518754.724378;373332.34;0.0;373332.34;1083668.65;0.0;1083668.65;637557.52;15170860.894378;15808418.414378
2018-01-01;2018-01-31;А;30111;П;125006707.42;0.0;125006707.42;262884223.89;0.0;262884223.89;172294943.56;0.0;172294943.56;34417427.09;0.0;34417427.09
2018-01-01;2018-01-31;А;30114;А;0.0;1460552792.8786187;1460552792.8786187;0.0;1464972651.186801;1464972651.186801;0.0;2199251369.685913;2199251369.685913;0.0;726274074.3795066;726274074.3795066
2018-01-01;2018-01-31;А;30126;П;67224.06;0.0;67224.06;0.0;0.0;0.0;0.0;0.0;0.0;67224.06;0.0;67224.06
2018-01-01;2018-01-31;А;30202;А;129554.0;0.0;129554.0;0.0;0.0;0.0;93819.58;0.0;93819.58;35734.42;0.0;35734.42
2018-01-01;2018-01-31;А;30204;А;5541.83;0.0;5541.83;149647.04;0.0;149647.04;0.0;0.0;0.0;155188.87;0.0;155188.87
2018-01-01;2018-01-31;А;30220;П;0.0;1429793492.9843938;1429793492.9843938;0.0;251131748.618938;251131748.618938;0.0;162558540.257008;162558540.257008;0.0;1341220284.622464;1341220284.622464
2018-01-01;2018-01-31;А;30221;А;69885.07;21447412.802542;21517297.872542;0.0;0.0;0.0;0.0;0.0;0.0;69885.07;21447412.802542;21517297.872542
2018-01-01;2018-01-31;А;30222;П;215769.47;43368305.32796;43584074.79796;0.0;5595511.517496;5595511.517496;0.0;0.0;0.0;215769.47;37772793.810464;37988563.280464
2018-01-01;2018-01-31;А;30223;П;302098.75;0.0;302098.75;6349676.77;0.0;6349676.77;15781776.55;0.0;15781776.55;9734198.53;0.0;9734198.53
2018-01-01;2018-01-31;А;30232;П;86904.66;4517213.068464;4604117.728464;0.0;0.0;0.0;0.0;0.0;0.0;86904.66;4517213.068464;4604117.728464
2018-01-01;2018-01-31;А;30233;А;58966.57;5801448.041544;5860414.611544;0.0;0.0;0.0;0.0;0.0;0.0;58966.57;5801448.041544;5860414.611544
2018-01-01;2018-01-31;А;30236;П;39070.65;7152603.181935;7191673.831935;0.0;134845152.115113;134845152.115113;0.0;249074167.076237;249074167.076237;39070.65;121381618.143059;121420688.793059
2018-01-01;2018-01-31;А;30413;А;185530.94;0.0;185530.94;2098780.35;0.0;2098780.35;2382487.14;0.0;2382487.14;-98175.85;0.0;-98175.85
2018-01-01;2018-01-31;А;30424;А;7855306.53;0.0;7855306.53;4414156.66;0.0;4414156.66;9299232.48;0.0;9299232.48;2970230.71;0.0;2970230.71
2018-01-01;2018-01-31;А;30425;А;87620.47;4479970.7554;4567591.2254;0.0;0.0;0.0;0.0;0.0;0.0;87620.47;4479970.7554;4567591.2254
